OS: macOS 11.0 Beta (20A5395g)

	PS. 測了不知道多少次，只成功過 3,4次

Timestamp                       Thread     Type        Activity             PID    TTL  
2020-10-19 17:54:38.987414+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping address = 4314285212
2020-10-19 17:54:38.987418+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping length = 64
2020-10-19 17:54:38.987434+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 02 00 00 00 90 01 7a 01 a5 01 58 20 39 20 51 56
2020-10-19 17:54:38.987444+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] c2 87 dd e1 a9 50 7f 87 bd 72 6c c6 c5 67 24 e3
2020-10-19 17:54:38.987454+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 0a 15 91 20 af 85 bb 7c 95 c4 a1 26 02 a2 62 69
2020-10-19 17:54:38.987464+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 64 78 18 77 65 62 61 75 74 68 6e 64 65 6d 6f 2e
2020-10-19 17:54:38.987485+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->CompleteDMA ret = 0
2020-10-19 17:54:38.987497+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] AsyncCompletion DataCount = 8
2020-10-19 17:54:38.987510+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device]    IOSleep 1 ms
2020-10-19 17:54:38.988692+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device]    CompleteReport
2020-10-19 17:54:38.988993+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] ----------------------- 4 ----------------------
2020-10-19 17:54:38.988996+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] setReport (Output)
2020-10-19 17:54:38.989008+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] frameReceived Report = 0x60000242c5f8
2020-10-19 17:54:38.989035+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA flags = 2
2020-10-19 17:54:38.989038+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA SegmentCount = 1
2020-10-19 17:54:38.989042+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA segments.address = 5473436
2020-10-19 17:54:38.989046+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA segments.length = 64
2020-10-19 17:54:38.989092+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->GetPreparation ret = 0
2020-10-19 17:54:38.989156+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping address = 4314285212
2020-10-19 17:54:38.989160+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping length = 64
2020-10-19 17:54:38.989173+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 02 00 00 00 00 61 70 70 73 70 6f 74 2e 63 6f 6d
2020-10-19 17:54:38.989183+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 64 6e 61 6d 65 6d 77 65 62 61 75 74 68 6e 2d 64
